11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
2990,"Online presentation sharing, small group discussion, among others, are all good features of the online teaching.",h,o,,,h o  ,H O  ,"Facilitation of group discussion and group works, Zoom functions/ online tools",,,,,,,,,,Facilitation of group discussion and group works,,,,,Zoom functions/ online tools,,,,,,,,,,,
2991,沒有優點,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2992,可以自己調整音頻，聽得清晰；有聊天面板，提問容易,n,g,,,n g  ,N G  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
2993,"time saved to commute back and forth to the campus, it saves me 4 hours round trip for transportation time.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2994,Lectures were recorded and students could revise them on Blackboard.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2995,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2996,can finish all lectures within this semester,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
2997,節省交通時間，增加放工後上課時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2998,不受時間限制討論,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
2999,方便present、分組討論,q1,h,,,q1 h  ,Q1 H  ,"Facilitation of group discussion and group works, Overall convenience ",,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,Overall convenience ,,,,,,,
3000,Still enable teachers to provide assistance during the thesis writing,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
3001,順利完成課程，因為此課程都幾講究按時間而完成,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
3002,Can attend the class anywhere.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3003,節省來往大學的時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3004,Nil,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
3005,More convenient than going back to campus,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3006,It provides flexibility for us given the current situation.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3007,可重聽老師的講課,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3008,Students could arrange their own time to watch the videos posted by Professor Ma. The arrangement is more flexible.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3009,More flexible,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3010,網上教學令學生更難集中精神，但老師授課內容十分吸引，亦富啟發性。,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
3011,節省同學往來學校交通時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3012,未見有優點,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
3013,N.A,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
3014,"善用zoom, WhatsApp等方式溝通",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3015,省時,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3016,Nil,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
3017,促進師生溝通,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3018,time saving,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3019,"Incorporating a forum element allowed continued conversation about discussion-provoking in-class topics that we weren't able to finish. Also, zoom' screen-share function made it easy to follow along with in-class presentations.",g,n,,,g n  ,G N  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
3020,the Blackboard forum discussion allows me to rethink some of the issues discussed in class,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3021,Zoom was lively and even more effective than class for interactive learning. It allowed for multitasking through using other online tools to aid explanation of issues and concepts,m,,,,m   ,M   ,Multitask,,,,,,,,,,,,,Multitask,,,,,,,,,,,,,
3022,"Actually, as a shy student, I can more engage in the class discussion.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3023,"When students present, screen sharing can be used",h3,,,,h3   ,H3   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3024,"Environmental friendly as students and teachers don't have to travel back to the campus in order to have classes. Online teaching provides students and teachers a convenience to share, be it share thoughts/screens/multimedia resources via ZOOM, or keep up discussion on Blackboard.",e,o,h,,e o h ,E O H ,"Time management, Facilitation of group discussion and group works, Zoom functions/ online tools",,,,,,,Time management,,,Facilitation of group discussion and group works,,,,,Zoom functions/ online tools,,,,,,,,,,,
3025,Have camera,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
3026,可以節省交通時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3027,互動提高,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3028,同學更願意在chat room回答問題，增加互動。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3029,較為方便，毋需親自回校上課，節省時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3030,不用戴口罩，可看到大家的表情,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3031,可以透過Chatroom即時提出問題,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3032,Easy to ask private questions,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3033,教學資源多元，如影片，投票功能，文章,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
3034,break out room 可與其他人交流,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3035,- A lot of videos are involved- Breakout room function allows students to discuss relevant topics,h,j,,,h j  ,H J  ,"Facilitation of group discussion and group works, Learning content/ resources",,,,,,,,,,Facilitation of group discussion and group works,Learning content/ resources,,,,,,,,,,,,,,,
3036,可以促進不同同學的交流,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3037,可以將role play/demonstration 錄影 方便重溫同檢討,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3038,Breakout Room中同學可專注的分享及留意當中的互動。,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3039,－網上recording可以重溫，有利學習,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3040,同學可以透過睇錄影左既片重溫內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3041,breakout room function,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3042,counseling可以分breakout room做，會更加安靜專心，錄影左老師點樣instruct同學又可以睇返，可以學多啲野,k,h,,,k h  ,K H  ,"Facilitation of group discussion and group works, Self-organised learning",,,,,,,,,,Facilitation of group discussion and group works,,Self-organised learning,,,,,,,,,,,,,,
3043,skill practice的部分透過breakout room進行，每次老師進入其中一組，可以令每位同學每次都有各自嘗試role-play的機會，又能透過重溫錄影觀摩老師進入的小組學習技巧； 另外網上帶組也是特別的經驗，過程中多了網上程式/媒介可以利用，日後有需要都可以此作參考,h,k,,,h k  ,H K  ,"Facilitation of group discussion and group works, Self-organised learning",,,,,,,,,,Facilitation of group discussion and group works,,Self-organised learning,,,,,,,,,,,,,,
3044,可重睇課堂,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3045,"Can try to practice group work via online platform in face of epidemics, which is an innovative way of doing group work!",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3046,"I think the good features are that I feel closer to the teacher and classmates. in face-to-face classes, I don't really know classmates sitting next to me, but we can now talk in the chatroom and know each other better.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3047,"it encouraged active participation of class with the use of discussions, as it is a relatively small class.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3048,those who are quiet in class can be talkative on zoom,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3049,"Everyone has the chance to talk, not limited to the classroom space.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3050,"Matthews made us all turn on our video cameras all the time. This actually INCREASED participation in class compared to offline classes, and people who usually wouldn't speak up used the chat function to discuss. Matthew's policy of not-critisizing jokes, and even encouraging people who he disagreed with made this class a pleasure to be in, helped us form bonds even on the online platform, and have meaningful discussion and debates about the topic using the chat function.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3051,more interactions because we have breakout rooms and also we can see everyone's faces in class/ easier communication,g,h,,,g h  ,G H  ,"Interaction & communication, Facilitation of group discussion and group works",,,,,,,,,Interaction & communication,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
3052,不用到課室上課,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3053,沒有那麼尷尬,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3054,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3055,Clear presentation of teaching materials,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
3056,分組討論方便上課做classwork時較容易搜尋資料,h,p3,,,h p3  ,H P3  ,"Facilitation of group discussion and group works, Learning activities",,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,Learning activities,,,,,,,,
3057,The content is good and teacher can clearly present the information to us,j,n,,,j n  ,J N  ,"Learning content/ resources, Clarity of delivery",,,,,,,,,,,Learning content/ resources,,,Clarity of delivery,,,,,,,,,,,,
3058,安全,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
3059,搭配powerpoint上堂令老師講解清晰,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
3060,"The teacher has put in a lot of effort to deliver course materials in an interesting way. She has also encouraged us to participate in class discussions and holding Q&A sessions. Since we are not in a physical classroom setting, people who are shy might feel more comfortable to speak up.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3061,x,a,,,,a   ,A   ,Blank,Blank,,,,,,,,,,,,,,,,,,,,,,,,,
3062,課堂秩序影響較少,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
3063,easier to share resourses,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
3064,Efficiency.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3065,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3066,方便抄寫筆記，不受距離影響較不容易超時取消學生在課上賞析文章，能有更多時間上課，學習更多,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
3067,lecture師生距離好像比較近,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3068,Convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
3069,Love the polls and great discussion,o,,,,o   ,O   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,Encourage more student's participation,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3071,Share videos or links.,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
3072,Polls are used to keep students on track of the lectures,o,g,,,o g  ,O G  ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3073,Flexible time arrangement,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
3074,"The professor recorded the lecture, which is much accessible for me to review and understand every detail of the knowledge.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3075,Better communication between students and teachers. Clear presentation on the teaching materials.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
3076,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
3077,Having recording of lecture for revision.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
3078,video showing will be much more efficient on Zoom.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
3079,Materials are suitable for online lecture,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
