9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
2640,大致上不錯,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
2641,難以透過觀察中大景色就寫一篇校園札記,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2642,課堂參與以zoom的參與度作參考，不但不準確，例如如在手機上上課，用手機看lecture powerpoint或在網上搜尋資料亦會被視作專注度下降，並不能作準。此外，zoom亦有不少私隱漏洞。,g,d,,,g d  ,participation,concentrate,,,G D  ,"Learn environment, Interaction","concentrate, participation",,,,,,concentrate,,,,,participation,,,,,,,,,,,,,
2643,不少參考書為實體書籍，無法在網上取得,w,,,,w   ,e-resource,,,,W   ,Learning support,e-resource,,,,,,,,,,,,,,,e-resource,,,,,,,,,
2644,小組報告執行上有難度,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
2645,這個科目有課堂練習的作文，每次都要複製文件打文字上載上黑板很麻煩。除此之外，有關作文互相分享的小組環節，同學沒有積極參與只是等待討論環節完結，缺乏人面對面的交流更顯網上教學的不足。,M,h,,,M h  ,classwork,group discussion,,,M H  ,"Assignment, Discussion/ Group work","classwork, group discussion",,,,,,,,,,classwork,,group discussion,,,,,,,,,,,,
2646,欠缺互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2647,very depend on the dedication of students,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
2648,internet problem.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2649,難以與老師進行有效溝通不能進行文學散步，比較難在文字寫生部分取得靈感,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2650,借不到參考書，曾向大學圖書館request，但都沒有e-version,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
2651,減少了互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2652,減少評核 太多功課了,M,p,,,M p  ,assignment,workload,,,M P  ,"Assignment, Assessment","assignment, workload",,,,,,,,,,assignment,,,,,,,,,workload,,,,,
2653,如何提供更多互動增加趣味和溝通,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2654,"太長,太早830起唔到",f,f,,,f f  ,too long,schedule,,,F F  ,Class planning,"too long, schedule",,,,,,,"too long, schedule",,,,,,,,,,,,,,,,,
2655,privacy problem in zoom please change another software for online teaching,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
2656,nothing to improve,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2657,尽快结束网上教学。,T,,,,T   ,Many,,,,T   ,Can't improve,Many,,,,,Many,,,,,,,,,,,,,,,,,,,
2658,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2659,播放视频会受到网路信号影响,s,,,,s   ,internet/ wifi,,,,S   ,IT-related,internet/ wifi,,,,,,,,,,,,,,,,,,,,internet/ wifi,,,,
2660,較少互動。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2661,文學散步在網上進行是不可行的,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2662,It becomes a bit more difficult to work in groups and submit pieces of classwork.,h,,,,h   ,group work,,,,H   ,Discussion/ Group work,group work,,,,,,,,,,,,group work,,,,,,,,,,,,
2663,可以多做小組討論增進同學之間的交流,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2664,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2665,減少分組討論及報告,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2666,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2667,自學部分的語文講堂不能像實體教學般進行，令自學部分的分數或有影響，同學亦失去學習課外知識的機會，十分可惜。,L,p,,,L p  ,hands-on experience,grading,,,L P  ,"Learning activities, Assessment","hands-on experience, grading",,,,,,,,,hands-on experience,,,,,,,,,,grading,,,,,
2668,Not suitable for online teaching,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
2669,不能經常做課堂練習（因為不方便）和小組討論較尷尬,h,M,,,h M  ,group discussion,classwork,,,H M  ,"Assignment, Discussion/ Group work","classwork, group discussion",,,,,,,,,,classwork,,group discussion,,,,,,,,,,,,
2670,少了一點討論,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2671,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
2672,stop using zoom use other applications,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2673,可以增加互動，網上教學有些沉悶,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2674,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2675,The online teaching has greatly reduce the interaction between the teachers and the students and makes the course pretty boring.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2676,被要求網上進行文學散步非常不合理,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2677,自主學習活動應配合網上教學提供更多選擇,r,,,,r   ,Lecturer - more familarize online tools,,,,R   ,On intructor,Lecturer - more familarize online tools,,,,,,,,,,,,,,,,,,Lecturer - more familarize online tools,,,,,,
2678,一、功課上載區可以按功課的提交次序開放，若把上載區預先全部開放，上載區的名稱又類同，很容易讓學生搞錯。二、網上的堂課可給予更多時間，因為上載、與組員討論、在veriguide收取收據也要時間，亦記得有同學曾開咪提及這個問題。三、可減少自評、互評等工夫，而老師對同學文章的意見和想法就有點缺少，可以增加，讓同學的語文進步。,g,j,f,,g j f ,feedback,file label,longer,,G J F ,"Class planning, Interaction, Course material","longer, feedback, file label",,,,,,,longer,,,,feedback,,file label,,,,,,,,,,,
2679,要完成習作的參考書目應有網上資源，明白出版詞典難以有線上版本，那麼作業要求應作出修改。,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
2680,很好,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
2681,有時老師網絡不是很好,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2682,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2683,1 網絡限制較少，不開camera的話有些時候很容易跑神（還是要靠同學的自控力啦）2 老師可以提高趣味性和互動的頻率，這樣同學就可以更多的參與到課程中（chlt我覺得還蠻好欸）,f,g,,,f g  ,camera on/off,participation,,,F G  ,"Class planning, Interaction","camera on/off, participation",,,,,,,camera on/off,,,,participation,,,,,,,,,,,,,
2684,Some activites in campus are limited.,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2685,老师和学生的互动需要增多,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2686,校园网路状况可以改善，在校园的老师经常出现网络问题掉线的情况。,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2687,現行系統限制太大了，好難改進,T,,,,T   ,can't improve,,,,T   ,Can't improve,can't improve,,,,,can't improve,,,,,,,,,,,,,,,,,,,
2688,改善部分比较不通顺的网络,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2689,More rest time,f,,,,f   ,breaks,,,,F   ,Class planning,breaks,,,,,,,breaks,,,,,,,,,,,,,,,,,
2690,始終同學都不太願意露面，令交流減弱。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2691,互動  匯報,g,h,,,g h  ,interaction,group presentation,,,G H  ,"Interaction, Discussion/ Group work","interaction, group presentation",,,,,,,,,,,interaction,group presentation,,,,,,,,,,,,
2692,網絡流暢度問題,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2693,冇,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2694,本科應直接取消網上教學。,e,,,,e   ,should cancel,,,,E   ,Prefer f2f,should cancel,,,,should cancel,,,,,,,,,,,,,,,,,,,,
2695,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2696,Privacy issues,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
2697,沒有。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2698,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2699,Online examination is impossible because people will cheat,p,,,,p   ,exam,,,,P   ,Assessment,exam,,,,,,,,,,,,,,,,,,,exam,,,,,
2700,"More in-class interactions such as polls, raising hands etc.",g,o,,,g o  ,interaction,poll,,,G O  ,"Interaction, Tools for learning","interaction, poll",,,,,,,,,,,interaction,,,,,,poll,,,,,,,
2701,More interaction between the students.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2702,good,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
2703,同學主動發言及回應的比例較少.,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
2704,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2705,can have much more interaction with student and professor,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2706,內容可以更多元化,j,,,,j   ,course materials,,,,J   ,Course material,course materials,,,,,,,,,,,,,course materials,,,,,,,,,,,
2707,我不知道如果不是受疫情影響改用網上教學，老師平時會不會評改堂課，如果做完有一些意見回饋給學生，會更好，現在有一種用心做完堂課但不知道老師有沒有查閱的感覺。不過可能會大大增加老師的工作量，行有餘力才做~~,g,,,,g   ,feedback,,,,G   ,Interaction,feedback,,,,,,,,,,,feedback,,,,,,,,,,,,,
2708,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2709,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2710,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2711,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2712,The part about speech might be better done if video submission is required.,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
2713,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2714,偶爾會有技術問題阻礙課堂進度,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
2715,N.A.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2716,"More interactions will be better, like use of polling",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2717,the videos in lecture take too long to be loaded,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
2718,討論平台不太鼓勵學生主動發問,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2719,上課時間可縮短，以免同學長時間望向瑩光幕。,d,f,,,d f  ,eyestrain,too long,,,D F  ,"Learn environment, Class planning","eyestrain, too long",,,,,,eyestrain,too long,,,,,,,,,,,,,,,,,
2720,口語教學難以示範,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2721,The class can be resumed to original teaching time instead of ending 45minutes earlier.,f,,,,f   ,teaching time,,,,F   ,Class planning,teaching time,,,,,,,teaching time,,,,,,,,,,,,,,,,,
2722,One of the sessions in this course is speech. Using online teaching cannot allow students to practice their speech and communication skills. Without face-to-face lesson. The interaction between teacher and students is greatly reduced.,L,g,,,L g  ,oral practice/ role play,interaction,,,L G  ,"Learning activities, Interaction","oral practice/ role play, interaction",,,,,,,,,oral practice/ role play,,interaction,,,,,,,,,,,,,
2723,Sometimes have connection issues,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2724,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2725,無法作演溝評核和練習，令人有紙上談兵之感。,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
2726,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2727,網絡穩定性會影響上課,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2728,"The teacher should give more time for students to type in their answers in chat because typing in Chinese may be quite difficult for students, and they may need more time to figure out the proper typing methods.",g,,,,g   ,chatbox,,,,G   ,Interaction,chatbox,,,,,,,,,,,chatbox,,,,,,,,,,,,,
2729,可以進行一些小組討論,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2730,學習說話技巧方面不太合適,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
2731,open camera,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
2732,Connection and software.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2733,上課時長較難控制，可能會超時,f,,,,f   ,overrun,,,,F   ,Class planning,overrun,,,,,,,overrun,,,,,,,,,,,,,,,,,
2734,分組較麻煩，易有技術性故障,h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
2735,。,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
2736,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2737,播放影片時不太暢順，希望日後可以改善,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
2738,Adding some MC questions in class may encourage us to concentrate on class,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
2739,Fine.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
2740,The network latency could deal serious disruptions to the course,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2741,Amount of classwork should be reduced.,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
2742,難以長時間專心於電腦上,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
2743,Online connection are not stable all the time.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2744,Online teaching does not allow us to do the classwork smoothly.,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
2745,互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2746,Not much!,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2747,the assessment method should be changed,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
2748,lack of personal feedback on tests and assignments,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
2749,Make use of more multimedia,j,,,,j   ,course materials,,,,J   ,Course material,course materials,,,,,,,,,,,,,course materials,,,,,,,,,,,
2750,Not much noticed.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2751,Nothing,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2752,開 cam 做演講,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
2753,缺少了面對面的交流機會,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2754,N.A.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2755,溝通少左,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
2756,不要用zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2757,學生討論積極性不足，比較少同學願意開啓麥克風去闡述個人看法。,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
